r,v,m_bh,is_unstable
122.83315620736761,7.080759464867503,1000.0,1
54.437952126360926,4.297628740630412,1000.0,0
58.07952202487297,9.489013080489867,1000.0,1
102.75668673004338,7.158277974621076,1000.0,1
50.78558782455568,10.149723886856442,1000.0,1
60.20584910935193,3.047463376485914,1000.0,0
125.07557700226587,6.310634552993236,1000.0,1
61.90561617670161,5.344373878040109,1000.0,0
122.08023533923857,5.088121697444829,1000.0,1
80.49520055554174,5.531960593423854,1000.0,1
92.38960678527783,5.410641399916163,1000.0,1
135.7723027002453,5.0614769600595775,1000.0,1
69.22381583827581,5.043528578235226,1000.0,0
56.96072939806861,9.109613100435144,1000.0,1
140.7880473225632,5.946977230923405,1000.0,1
62.843156928929034,8.025499077687485,1000.0,1
130.95798397685996,4.6452392737283965,1000.0,1
66.58422712475435,7.181733803766441,1000.0,1
73.28810099393378,3.459136164911766,1000.0,0
122.39978435469146,5.623118077598785,1000.0,1
54.45146297585754,10.440520599710295,1000.0,1
79.28619133314967,3.363664299805439,1000.0,0
51.740982951118454,4.489810856537644,1000.0,0
62.022892646341134,3.5584597636938997,1000.0,0
145.58396578161523,2.351008639272016,1000.0,0
92.34035812455521,7.1532076508011535,1000.0,1
85.38164186447936,7.692064277456312,1000.0,1
93.31654339290318,7.410004124590748,1000.0,1
130.8757348464394,4.646074638878267,1000.0,1
100.15150751863418,5.706350289903413,1000.0,1
123.8087781688146,2.9312009758074913,1000.0,0
124.08807636113856,2.1735869615055674,1000.0,0
116.87190042001437,3.2295339919443364,1000.0,0
84.61817635718724,4.236046111274182,1000.0,0
69.49327378429467,5.287159317714815,1000.0,0
111.6087256826402,2.3712429253940135,1000.0,0
117.41254730461853,4.078693391465719,1000.0,0
114.9695017905597,1.9198247218250273,1000.0,0
50.667499897602696,7.477641348846605,1000.0,1
64.93212290240223,2.0978922181825452,1000.0,0
112.39450223909063,5.140640086528237,1000.0,1
127.10822029172154,3.9894170511554115,1000.0,1
142.47438487976186,3.024861845486904,1000.0,0
117.46351187130708,4.778027289495345,1000.0,1
88.35460698562234,6.68620193095052,1000.0,1
76.23089853108233,6.745874378165107,1000.0,1
116.72562280567085,6.8935943762109835,1000.0,1
108.5892462578378,5.929235742098978,1000.0,1
135.84853584361218,1.999849872802802,1000.0,0
65.11055459239284,1.9637881888321973,1000.0,0
108.64787833093192,2.5375936067011824,1000.0,0
115.52834691377696,1.9143208932855427,1000.0,0
82.36121139809393,4.224453582749635,1000.0,0
117.5524717479197,2.2920634543353753,1000.0,0
83.57885833957062,8.330253111104758,1000.0,1
138.55340148234814,5.117598459537094,1000.0,1
138.59080265083315,6.03648269754358,1000.0,1
147.0631740670564,2.60507048925917,1000.0,0
62.54546802580335,8.224084508043997,1000.0,1
72.31129863340185,2.7222986301533916,1000.0,0
138.2881583914389,4.048543011508915,1000.0,1
93.97910843527265,5.132069582641642,1000.0,1
91.95476813218184,1.7748071117688937,1000.0,0
